,,Selection Sort,,,Insertion Sort,,,Bubble Sort,,,Quick Sort,
n,time,compareCount,swapCount,time,compareCount,swapCount,time,compareCount,swapCount,time,compareCount,swapCount
6.00E-06,2.00E-06,0,0,2.00E-06,0,0,3.00E-06,0,0,3.00E-06,0,0
2,6.00E-06,1,1,5.00E-06,1,1,5.00E-06,1,1,6.00E-06,4,1
4,3.00E-06,6,3,2.00E-06,4,3,2.00E-06,6,1,3.00E-06,8,1
8,6.00E-06,28,7,4.00E-06,15,9,8.00E-06,28,22,7.00E-06,29,8
16,2.80E-05,120,15,2.90E-05,71,59,3.10E-05,120,47,1.50E-05,75,15
32,5.50E-05,496,31,7.30E-05,267,240,7.50E-05,496,262,4.50E-05,194,47
64,0.00015,2016,63,0.000126,1150,1095,0.000199,2016,1042,5.40E-05,458,123
128,0.000816,8128,127,0.000364,3996,3874,0.000732,8128,3841,0.000111,1096,287
256,0.002366,32640,255,0.001448,16282,16035,0.002875,32640,16270,0.000272,2518,718
512,0.003043,130816,511,0.004073,66467,65960,0.003719,130816,66167,0.000152,5774,1699
1024,0.001598,523776,1023,0.003284,259014,257998,0.002851,523776,240662,0.000203,13839,3806
2048,0.009122,2096128,2047,0.003133,1004676,1002633,0.00992,2096128,1012513,0.00043,27305,8874
4096,0.010561,8386560,4095,0.004432,3989925,3985843,0.015032,8386560,4101025,0.00087,58599,19578
8192,0.041361,33550336,8191,0.017129,16088681,16080499,0.070377,33550336,16064043,0.001533,141950,42299
16384,0.164384,134209536,16383,0.067959,64547772,64531397,0.319876,134209536,63742316,0.001692,306904,91533
32768,0.661705,536854528,32767,0.275561,258163042,258130282,1.388403,536854528,259072605,0.003453,649237,198934
65536,2.641264,2147450880,65535,1.096285,1035421095,1035355571,5.740332,2147450880,1031117444,0.007331,1423562,425259
131072,10.463802,8589803520,131071,4.349247,4141684380,4141422284,23.128973,8589803520,4124469776,0.014499,2852950,926299
262144,41.874852,34359214080,262143,17.468318,16566737520,16565689136,,,,0.03097,6435701,1940212
524288,,,,,,,,,,0.062841,13292683,4144816
1048576,,,,,,,,,,0.132274,28169409,8771573
2097152,,,,,,,,,,0.284099,59847515,18482062
4194304,,,,,,,,,,0.631591,125103528,38979614
8388608,,,,,,,,,,1.236422,259615011,81918853
16777216,,,,,,,,,,2.613014,561107206,170675199
33554432,,,,,,,,,,5.338947,1138807897,358607280
67108864,,,,,,,,,,11.503416,2277615794,746190268
134217728,,,,,,,,,,23.990307,4555231588,1559937449
268435456,,,,,,,,,,47.123315,9110463176,3135474272